player_id,player_lastname,player_firstname,season,pos,age,tim,g,gs,mp,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts
davisan02,Davis,Anthony,2015,PF,21,NOP,68,68,36.1,9.4,17.6,0.535,0.0,0.2,0.083,9.4,17.5,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
davised01,Davis,Ed,2015,PF,25,LAL,79,24,23.3,3.6,5.9,0.601,0.0,0.0,,3.6,5.9,0.601,0.601,1.2,2.4,0.48700000000000004,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3
davisgl01,Davis,Glen,2015,PF,29,LAC,74,0,12.2,1.6,3.4,0.45899999999999996,0.0,0.1,0.0,1.6,3.4,0.466,0.45899999999999996,0.8,1.3,0.632,0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4.0
dawkian01,Dawkins,Andre,2015,SG,23,MIA,4,0,5.5,0.3,1.5,0.16699999999999998,0.3,1.5,0.16699999999999998,0.0,0.0,,0.25,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.8,0.8
dayeau01,Daye,Austin,2015,SF,26,TOT,34,4,10.1,1.5,4.1,0.355,0.7,2.1,0.33799999999999997,0.8,2.1,0.371,0.44,0.1,0.2,0.833,0.3,1.9,2.2,0.5,0.4,0.1,0.7,1.1,3.8
dayeau01,Daye,Austin,2015,SF,26,SAS,26,4,10.3,1.5,4.4,0.348,0.7,2.2,0.33299999999999996,0.8,2.2,0.36200000000000004,0.43,0.2,0.2,1.0,0.2,2.1,2.3,0.3,0.3,0.1,0.7,1.2,4.0
dayeau01,Daye,Austin,2015,SF,26,ATL,8,0,9.5,1.3,3.3,0.385,0.6,1.8,0.35700000000000004,0.6,1.5,0.41700000000000004,0.48100000000000004,0.1,0.3,0.5,0.5,1.3,1.8,1.0,0.5,0.3,0.6,1.1,3.3
dedmode01,Dedmon,Dewayne,2015,C,25,ORL,59,15,14.3,1.5,2.7,0.562,0.0,0.0,0.0,1.5,2.7,0.565,0.562,0.6,1.1,0.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7
dellama01,Dellavedova,Matthew,2015,SG,24,CLE,67,13,20.6,1.7,4.6,0.36200000000000004,1.0,2.5,0.40700000000000003,0.6,2.1,0.307,0.47200000000000003,0.4,0.6,0.763,0.6,1.3,1.9,3.0,0.4,0.0,0.9,2.3,4.8
denglu01,Deng,Luol,2015,SF,29,MIA,72,72,33.6,5.1,10.9,0.469,1.1,3.1,0.355,4.0,7.9,0.513,0.518,2.7,3.5,0.7609999999999999,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14.0
