player_lastname,player_firstname,season,draymond
Drummond ,Andre,2017,-1.048
Drummond ,Andre,2018,-0.092
Drummond ,Andre,2019,1.015
Iguodala ,Andre,2014,-0.316
Iguodala ,Andre,2015,0.655
Iguodala ,Andre,2016,-1.008
Iguodala ,Andre,2017,0.192
Iguodala ,Andre,2018,0.709
Iguodala ,Andre,2019,0.522
Ingram ,Andre,2018,-0.465
Ingram ,Andre,2019,1.738
Miller ,Andre,2014,-0.153
Miller ,Andre,2015,1.051
Miller ,Andre,2016,-0.824
Roberson ,Andre,2014,-0.332
Roberson ,Andre,2015,2.306
Roberson ,Andre,2016,2.079
Roberson ,Andre,2017,2.848
Roberson ,Andre,2018,0.64
Bargnani ,Andrea,2014,-1.011
Bargnani ,Andrea,2015,-2.263
Bargnani ,Andrea,2016,-3.087
Kirilenko ,Andrei,2014,-0.943
Kirilenko ,Andrei,2015,2.307
Bogut ,Andrew,2014,1.656
Bogut ,Andrew,2015,2.511
Bogut ,Andrew,2016,2.207
Bogut ,Andrew,2017,0.619
Bogut ,Andrew,2018,1.803
Bogut ,Andrew,2019,2.202
Bynum ,Andrew,2014,1.367
Goudelock ,Andrew,2016,1.893
Harrison ,Andrew,2017,0.866
Harrison ,Andrew,2018,0.477
Harrison ,Andrew,2019,-3.097
Nicholson ,Andrew,2014,-0.134
Nicholson ,Andrew,2015,-0.268
Nicholson ,Andrew,2016,0.409
Nicholson ,Andrew,2017,-0.235
White III,Andrew,2018,-2.469
Wiggins ,Andrew,2015,-1.093
Wiggins ,Andrew,2016,-0.131
Wiggins ,Andrew,2017,-1.525
Wiggins ,Andrew,2018,-0.305
Wiggins ,Andrew,2019,0.143
Biedrins ,Andris,2014,-3.436
Simons ,Anfernee,2019,-2.806
Delgado ,Angel,2019,1.467
Jamison ,Antawn,2014,-0.693
Zizic ,Ante,2018,0.538
Zizic ,Ante,2019,-0.44
Bennett ,Anthony,2014,-1.894
Bennett ,Anthony,2015,-2.552
Bennett ,Anthony,2016,-9.058
Bennett ,Anthony,2017,-2.513
Brown ,Anthony,2016,0.835
Brown ,Anthony,2017,1.688
Brown ,Anthony,2018,-11.677
Davis ,Anthony,2014,1.24
Davis ,Anthony,2015,2.287
Davis ,Anthony,2016,1.403
Davis ,Anthony,2017,2.26
Davis ,Anthony,2018,3.208
Davis ,Anthony,2019,1.154
Morrow ,Anthony,2014,-1.472
Morrow ,Anthony,2015,-1.146
Morrow ,Anthony,2016,-0.943
Morrow ,Anthony,2017,-1.049
Randolph ,Anthony,2014,0.43
Tolliver ,Anthony,2014,0.184
Tolliver ,Anthony,2015,-1.328
Tolliver ,Anthony,2016,1.294
Tolliver ,Anthony,2017,-1.408
Tolliver ,Anthony,2018,1.774
Tolliver ,Anthony,2019,-0.405
Blakeney ,Antonio,2018,0.31
Blakeney ,Antonio,2019,-4.085
Cleveland ,Antonius,2018,-4.956
Goodwin ,Archie,2014,1.564
Goodwin ,Archie,2015,-0.982
Goodwin ,Archie,2016,-2.763
Goodwin ,Archie,2017,-2.055
Onuaku ,Arinze,2014,-3.493
Onuaku ,Arinze,2015,0.11
Onuaku ,Arinze,2017,-4.472
Moultrie ,Arnett,2014,1.253
Baynes ,Aron,2014,-0.008
Baynes ,Aron,2015,1.51
Baynes ,Aron,2016,-0.045
Baynes ,Aron,2017,2.717
Baynes ,Aron,2018,2.715
Baynes ,Aron,2019,2.171
Afflalo ,Arron,2014,-1.736
Afflalo ,Arron,2015,0.483
Afflalo ,Arron,2016,-0.22
Afflalo ,Arron,2017,-2.214
Afflalo ,Arron,2018,0.426
Daye ,Austin,2014,-1.819
Daye ,Austin,2015,-1.059
Rivers ,Austin,2014,-0.182
Rivers ,Austin,2015,-1.354
Rivers ,Austin,2016,2.068
Rivers ,Austin,2017,0.352
Rivers ,Austin,2018,-0.443
Rivers ,Austin,2019,0.109
Bradley ,Avery,2014,-1.075
Bradley ,Avery,2015,-0.797
Bradley ,Avery,2016,-0.172
Bradley ,Avery,2017,-0.775
Bradley ,Avery,2018,-0.979
Bradley ,Avery,2019,0.415
Toupane ,Axel,2016,1.5
Toupane ,Axel,2017,1.486
Johnson ,BJ,2019,-4.907
Adebayo ,Bam,2018,1.039
Adebayo ,Bam,2019,0.735
Bentil ,Ben,2017,-9.733
Gordon ,Ben,2014,0.931
Gordon ,Ben,2015,-1.463
McLemore ,Ben,2014,-1.838
McLemore ,Ben,2015,0.325
McLemore ,Ben,2016,-0.707
McLemore ,Ben,2017,-1.045
McLemore ,Ben,2018,-2.163
McLemore ,Ben,2019,-2.747
Moore ,Ben,2018,-2.115
Simmons ,Ben,2018,1.224
Simmons ,Ben,2019,0.97
Udrih ,Beno,2014,-0.554
Udrih ,Beno,2015,-0.734
Udrih ,Beno,2016,0.074
Udrih ,Beno,2017,-1.639
James ,Bernard,2014,-1.103
James ,Bernard,2015,4.249
Garrett ,Billy,2019,-1.74
Biyombo ,Bismack,2014,1.77
Biyombo ,Bismack,2015,1.044
Biyombo ,Bismack,2016,1.44
Biyombo ,Bismack,2017,-0.464
Biyombo ,Bismack,2018,0.751
Biyombo ,Bismack,2019,0.014
Griffin ,Blake,2014,0.213
Griffin ,Blake,2015,0.349
Griffin ,Blake,2016,-0.435
Griffin ,Blake,2017,0.478
Griffin ,Blake,2018,0.918
Griffin ,Blake,2019,-0.609
Marjanovic ,Boban,2016,1.559
Marjanovic ,Boban,2017,1.803
Marjanovic ,Boban,2018,1.182
Marjanovic ,Boban,2019,3.019
Brown ,Bobby,2017,1.514
Brown ,Bobby,2018,-3.849
Portis ,Bobby,2016,1.979
Portis ,Bobby,2017,0.875
Portis ,Bobby,2018,-1.289
Portis ,Bobby,2019,-1.5
Bogdanovic ,Bogdan,2018,-1.1
Bogdanovic ,Bogdan,2019,-0.48
Bogdanovic ,Bojan,2015,0.223
Bogdanovic ,Bojan,2016,-2.455
Bogdanovic ,Bojan,2017,-0.845
