player_id,player_lastname,player_firstname,season,draymond
robinna01,Robinson,Nate,2016,7.5920000000000005
robinna01,Robinson,Nate,2015,2.559
robinna01,Robinson,Nate,2014,-0.069
robinth01,Robinson,Thomas,2014,-0.68
robinth01,Robinson,Thomas,2017,-3.135
robinth01,Robinson,Thomas,2016,-0.387
robinth01,Robinson,Thomas,2015,0.105
robindu01,Robinson,Duncan,2019,-1.778
robinde01,Robinson,Devin,2019,2.943
robinde01,Robinson,Devin,2018,-2.414
rodrise01,Rodriguez,Sergio,2017,-2.502
rondora01,Rondo,Rajon,2014,-3.713
rondora01,Rondo,Rajon,2015,-0.667
rondora01,Rondo,Rajon,2016,-1.339
rondora01,Rondo,Rajon,2017,-1.255
rondora01,Rondo,Rajon,2018,-1.7930000000000001
rondora01,Rondo,Rajon,2019,-1.788
rosede01,Rose,Derrick,2017,0.95
rosede01,Rose,Derrick,2014,2.384
rosede01,Rose,Derrick,2015,1.114
rosede01,Rose,Derrick,2019,0.265
rosede01,Rose,Derrick,2018,-1.26
rosede01,Rose,Derrick,2016,-0.27399999999999997
rosste01,Ross,Terrence,2016,1.4140000000000001
rosste01,Ross,Terrence,2019,-1.143
rosste01,Ross,Terrence,2017,-1.401
rosste01,Ross,Terrence,2015,-0.521
rosste01,Ross,Terrence,2018,1.54
rosste01,Ross,Terrence,2014,1.094
roziete01,Rozier,Terry,2017,-0.867
roziete01,Rozier,Terry,2016,-1.4909999999999999
roziete01,Rozier,Terry,2018,0.563
roziete01,Rozier,Terry,2019,0.298
rubiori01,Rubio,Ricky,2019,-1.439
rubiori01,Rubio,Ricky,2018,-1.266
rubiori01,Rubio,Ricky,2017,-0.48100000000000004
rubiori01,Rubio,Ricky,2016,-1.032
rubiori01,Rubio,Ricky,2014,-1.3159999999999998
rubiori01,Rubio,Ricky,2015,1.062
rudezda01,Rudez,Damjan,2017,-4.27
rudezda01,Rudez,Damjan,2016,0.275
rudezda01,Rudez,Damjan,2015,-0.997
rushbr01,Rush,Brandon,2014,-4.093
rushbr01,Rush,Brandon,2015,-3.728
rushbr01,Rush,Brandon,2016,-0.14400000000000002
rushbr01,Rush,Brandon,2017,1.528
russeda01,Russell,D'Angelo,2017,-1.375
russeda01,Russell,D'Angelo,2018,-1.8619999999999999
russeda01,Russell,D'Angelo,2019,0.326
russeda01,Russell,D'Angelo,2016,-1.4240000000000002
sabondo01,Sabonis,Domantas,2017,0.493
sabondo01,Sabonis,Domantas,2019,0.217
sabondo01,Sabonis,Domantas,2018,0.623
sacrero01,Sacre,Robert,2016,-0.608
