player_id,player_lastname,player_firstname
fraziti01,Frazier,Tim
frazime01,Frazier,Melvin
fredeji01,Fredette,Jimmer
freeljo01,Freeland,Joel
fryech01,Frye,Channing
fultzma01,Fultz,Markelle
gallida01,Gallinari,Danilo
gallola01,Galloway,Langston
garcifr01,Garcia,Francisco
garinpa01,Garino,Patricio
garneke01,Garnett,Kevin
garredi02,Garrett,Diante
garrebi01,Garrett,Billy
gasolpa01,Gasol,Pau
gasolma01,Gasol,Marc
gayru01,Gay,Rudy
gbinimi01,Gbinije,Michael
geeal01,Gee,Alonzo
georgpa01,George,Paul
georgma01,Georges-Hunt,Marcus
gibsota01,Gibson,Taj
gibsojo01,Gibson,Jonathan
gilesha01,Giles,Harry
gilgesh01,Gilgeous-Alexander,Shai
ginobma01,Ginobili,Manu
goberru01,Gobert,Rudy
gomesry01,Gomes,Ryan
goodedr01,Gooden,Drew
goodwar01,Goodwin,Archie
goodwbr01,Goodwin,Brandon
gordoaa01,Gordon,Aaron
gordoer01,Gordon,Eric
gordodr01,Gordon,Drew
gordobe01,Gordon,Ben
gortama01,Gortat,Marcin
goudean01,Goudelock,Andrew
grahade01,Graham,Devonte'
grahatr01,Graham,Treveon
grangda01,Granger,Danny
grantje01,Grant,Jerami
grantje02,Grant,Jerian
grantdo01,Grantham,Donte
grayaa01,Gray,Aaron
grayjo01,Gray,Josh
greenge01,Green,Gerald
greener01,Green,Erick
greendr01,Green,Draymond
greenda02,Green,Danny
greenja01,Green,JaMychal
greenje02,Green,Jeff
greenwi01,Green,Willie
griffbl01,Griffin,Blake
gutiejo01,Gutierrez,Jorge
hairspj02,Hairston,P.J.
hamilda02,Hamilton,Daniel
hamilju01,Hamilton,Justin
hamiljo02,Hamilton,Jordan
hammoaj01,Hammons,A.J.
hannadu01,Hannahs,Dusty
hansbty01,Hansbrough,Tyler
hardati02,Hardaway,Tim
hardeja01,Harden,James
harklma01,Harkless,Maurice
harpeju01,Harper,Justin
harremo01,Harrell,Montrezl
harrejo01,Harrellson,Josh
harrial01,Harrington,Al
harrito02,Harris,Tobias
harrijo01,Harris,Joe
harride01,Harris,Devin
harriga01,Harris,Gary
harrima01,Harris,Manny
harrimi01,Harris,Mike
harriel01,Harris,Elias
harrian01,Harrison,Andrew
harriaa01,Harrison,Aaron
harrish01,Harrison,Shaquille
hartjo01,Hart,Josh
harteis01,Hartenstein,Isaiah
hasleud01,Haslem,Udonis
hawessp01,Hawes,Spencer
hayesch01,Hayes,Chuck
hayesni01,Hayes,Nigel
haywago01,Hayward,Gordon
haywobr01,Haywood,Brendan
hearnre01,Hearn,Reggie
hendege02,Henderson,Gerald
henryxa01,Henry,Xavier
henrymy01,Henry,Myke
hensojo01,Henson,John
hernaju01,Hernangomez,Juan
hernawi01,Hernangomez,Willy
hezonma01,Hezonja,Mario
hibbero01,Hibbert,Roy
hicksis01,Hicks,Isaiah
hicksjj01,Hickson,J.J.
hieldbu01,Hield,Buddy
highsha01,Highsmith,Haywood
hilarne01,Hilario,Nene
hillge01,Hill,George
hilljo01,Hill,Jordan
hillso01,Hill,Solomon
hillida01,Hilliard,Darrun
hinriki01,Hinrich,Kirk
holidjr01,Holiday,Jrue
holidju01,Holiday,Justin
holidaa01,Holiday,Aaron
hollajo02,Holland,John
holliry01,Hollins,Ryan
holliro01,Hollis-Jefferson,Rondae
holmeri01,Holmes,Richaun
hoodro01,Hood,Rodney
hopsosc01,Hopson,Scotty
horfoal01,Horford,Al
houseda01,House,Danuel
howardw01,Howard,Dwight
hudsole01,Hudson,Lester
huertma01,Huertas,Marcelo
huertke01,Huerter,Kevin
huestjo01,Huestis,Josh
hummero01,Hummel,Robbie
humphkr01,Humphries,Kris
humphis01,Humphries,Isaac
hunterj01,Hunter,R.J.
huntevi01,Hunter,Vince
hutchch01,Hutchison,Chandler
ibakase01,Ibaka,Serge
iguodan01,Iguodala,Andre
ilyaser01,Ilyasova,Ersan
inglejo01,Ingles,Joe
inglida01,Inglis,Damien
ingraan01,Ingram,Andre
ingrabr01,Ingram,Brandon
irvinky01,Irving,Kyrie
isaacjo01,Isaac,Jonathan
iveyro01,Ivey,Royal
iwundwe01,Iwundu,Wesley
jackja01,Jack,Jarrett
jacksaa01,Jackson,Aaron
jacksde01,Jackson,Demetrius
jacksjo02,Jackson,Josh
jacksfr01,Jackson,Frank
jackspi01,Jackson,Pierre
jacksju01,Jackson,Justin
jacksre01,Jackson,Reggie
jacksja02,Jackson,Jaren
jacksst02,Jackson,Stephen
jamesmi02,James,Mike
jamesle01,James,LeBron
jamesmi01,James,Mike
jamesda01,James,Damion
jamesbe01,James,Bernard
jamisan01,Jamison,Antawn
jeffeot01,Jeffers,Othyus
jeffeco01,Jefferson,Cory
jeffeal01,Jefferson,Al
jeffeam01,Jefferson,Amile
jefferi01,Jefferson,Richard
jenkijo01,Jenkins,John
jennibr01,Jennings,Brandon
jerebjo01,Jerebko,Jonas
jerregr01,Jerrett,Grant
johnsch04,Johnson,Chris
